ct_sc_pipeline	ct_author	percent_overlap
L6b.glutamatergic.cortical.neuron	Astro	0.0
L6b.glutamatergic.cortical.neuron	Chandelier	0.0
L6b.glutamatergic.cortical.neuron	OPC	0.0
L6b.glutamatergic.cortical.neuron	Lamp5_Lhx6	0.0
L6b.glutamatergic.cortical.neuron	Immune	0.0
L6b.glutamatergic.cortical.neuron	PC	0.0
L6b.glutamatergic.cortical.neuron	Oligo	0.0
L6b.glutamatergic.cortical.neuron	L6_CT	0.0
L6b.glutamatergic.cortical.neuron	Sncg	0.0
L6b.glutamatergic.cortical.neuron	L6_IT_Car3	0.0
L6b.glutamatergic.cortical.neuron	L5.6_NP	0.0
L6b.glutamatergic.cortical.neuron	SMC	0.0
L6b.glutamatergic.cortical.neuron	Sst_Chodl	0.0
L6b.glutamatergic.cortical.neuron	Pvalb	0.0
L6b.glutamatergic.cortical.neuron	L6_IT	0.0
L6b.glutamatergic.cortical.neuron	L5_IT	0.0
L6b.glutamatergic.cortical.neuron	Lamp5	0.0
L6b.glutamatergic.cortical.neuron	L6b	0.0
L6b.glutamatergic.cortical.neuron	L4_IT	0.0
pvalb.GABAergic.cortical.interneuron	Micro	0.0
pvalb.GABAergic.cortical.interneuron	Sst	0.0
pvalb.GABAergic.cortical.interneuron	Pax6	0.0
pvalb.GABAergic.cortical.interneuron	VLMC	0.0
pvalb.GABAergic.cortical.interneuron	Vip	0.0
pvalb.GABAergic.cortical.interneuron	L5_ET	100.0
pvalb.GABAergic.cortical.interneuron	L2.3_IT	0.0
pvalb.GABAergic.cortical.interneuron	Endo	0.0
pvalb.GABAergic.cortical.interneuron	Astro	0.0
pvalb.GABAergic.cortical.interneuron	Chandelier	0.0
pvalb.GABAergic.cortical.interneuron	OPC	0.0
pvalb.GABAergic.cortical.interneuron	Lamp5_Lhx6	0.0
pvalb.GABAergic.cortical.interneuron	Immune	0.0
pvalb.GABAergic.cortical.interneuron	PC	0.0
pvalb.GABAergic.cortical.interneuron	Oligo	0.0
pvalb.GABAergic.cortical.interneuron	L6_CT	0.0
pvalb.GABAergic.cortical.interneuron	Sncg	0.0
pvalb.GABAergic.cortical.interneuron	L6_IT_Car3	0.0
pvalb.GABAergic.cortical.interneuron	L5.6_NP	0.0
pvalb.GABAergic.cortical.interneuron	SMC	0.0
pvalb.GABAergic.cortical.interneuron	Sst_Chodl	0.0
pvalb.GABAergic.cortical.interneuron	Pvalb	0.0
pvalb.GABAergic.cortical.interneuron	L6_IT	0.0
pvalb.GABAergic.cortical.interneuron	L5_IT	0.0
pvalb.GABAergic.cortical.interneuron	Lamp5	0.0
pvalb.GABAergic.cortical.interneuron	L6b	0.0
pvalb.GABAergic.cortical.interneuron	L4_IT	0.0
astrocyte	Micro	0.0
astrocyte	Sst	0.0
astrocyte	Pax6	0.0
astrocyte	VLMC	0.0
astrocyte	Vip	0.0
astrocyte	L5_ET	0.0
astrocyte	L2.3_IT	0.0
astrocyte	Endo	0.0
astrocyte	Astro	69.23076923076923
astrocyte	Chandelier	0.0
astrocyte	OPC	0.0
astrocyte	Lamp5_Lhx6	0.0
astrocyte	Immune	0.0
astrocyte	PC	0.0
astrocyte	Oligo	0.0
astrocyte	L6_CT	0.0
astrocyte	Sncg	0.0
astrocyte	L6_IT_Car3	0.0
astrocyte	L5.6_NP	0.0
astrocyte	SMC	0.0
astrocyte	Sst_Chodl	0.0
astrocyte	Pvalb	0.0
astrocyte	L6_IT	0.0
astrocyte	L5_IT	0.0
astrocyte	Lamp5	0.0
astrocyte	L6b	0.0
astrocyte	L4_IT	0.0
